"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";15;2.9260901245091;0;3.99
"2020-03-09";15;2.70091012276923;0;3.99
"2020-03-10";15;2.44921263186383;0;3.99
"2020-03-11";15;2.25686953639801;0;3.99
"2020-03-12";15;2.05541867359662;0;3.99
"2020-03-13";15;1.89806563620218;0;3.99
"2020-03-14";15;1.82783904597567;0;3.99
"2020-03-15";15;1.74160910512537;0;3.99
"2020-03-16";15;1.79510892815039;0;3.99
"2020-03-17";15;1.7710819327251;0;3.99
"2020-03-18";15;1.71607883187926;0;3.84959549866718
"2020-03-19";15;1.74128328340981;0;3.83783886458311
"2020-03-20";15;1.72654813854761;0;3.72063722484157
"2020-03-21";15;1.74338455010175;0;3.57443979323113
"2020-03-22";15;1.78507343412243;0.0647407347122058;3.50540613353265
"2020-03-23";15;1.8360987682895;0.101818268267856;3.57037926831114
"2020-03-24";15;1.89664661080735;0.134458463694681;3.65883475792001
"2020-03-25";15;1.92890616777124;0.282065486210439;3.57574684933204
"2020-03-26";15;1.95975228796465;0.412228913699219;3.50727566223008
"2020-03-27";15;1.97784077699636;0.535488006930179;3.42019354706253
"2020-03-28";15;1.96144885567599;0.611498863211575;3.31139884814041
"2020-03-29";15;1.92294483330873;0.707832386228894;3.13805728038857
"2020-03-30";15;1.99402365332945;0.777751455097417;3.21029585156148
"2020-03-31";15;1.97856011766466;0.781886464371241;3.17523377095807
"2020-04-01";15;1.97141601919604;0.821680882902278;3.12115115548979
"2020-04-02";15;1.91075371494623;0.869856769923433;2.95165065996902
"2020-04-03";15;1.81844102178643;0.884923931727824;2.75195811184504
"2020-04-04";15;1.76393392083238;0.921138762849524;2.60672907881524
"2020-04-05";15;1.67672855893008;0.924009986827238;2.42944713103292
"2020-04-06";15;1.58230059525446;0.909379503428195;2.25522168708072
"2020-04-07";15;1.49319157490638;0.896186450779453;2.09019669903331
"2020-04-08";15;1.38414077894812;0.86008430310624;1.90819725479
"2020-04-09";15;1.26514637475993;0.810763936485247;1.7195288130346
"2020-04-10";15;1.1809801557331;0.775808748725442;1.58615156274075
"2020-04-11";15;1.07114017897379;0.703067460285201;1.43921289766237
"2020-04-12";15;0.998344400042586;0.649931707589735;1.34675709249544
"2020-04-13";15;0.949371210377044;0.606008429841483;1.29273399091261
"2020-04-14";15;0.906728124188124;0.561445746269066;1.25201050210718
"2020-04-15";15;0.884608002838685;0.528719801739891;1.24049620393748
"2020-04-16";15;0.905748997880159;0.539337672492371;1.27216032326795
"2020-04-17";15;0.950866845467719;0.557314652084157;1.34441903885128
"2020-04-18";15;1.00941581738304;0.617888917586816;1.40094271717927
"2020-04-19";15;1.06331664113107;0.678307537668021;1.44832574459412
"2020-04-20";15;1.13648181282035;0.731215424753648;1.54174820088705
"2020-04-21";15;1.16800400471609;0.761482416766247;1.57452559266594
"2020-04-22";15;1.17306483758611;0.772583961274184;1.57354571389804
"2020-04-23";15;1.13762706485496;0.764280971757578;1.51097315795234
"2020-04-24";15;1.06984643594376;0.720001820839752;1.41969105104777
"2020-04-25";15;1.02870038216591;0.685316055468019;1.3720847088638
"2020-04-26";15;0.984442711799007;0.659105000086936;1.30978042351108
"2020-04-27";15;0.92313515133735;0.585529844207842;1.26074045846686
"2020-04-28";15;0.911019468451228;0.558562066436301;1.26347687046616
"2020-04-29";15;0.910180658375774;0.537300878152201;1.28306043859935
"2020-04-30";15;0.912573924710232;0.55335643779001;1.27179141163046
"2020-05-01";15;0.924239589079559;0.580879573893713;1.26759960426541
"2020-05-02";15;0.91894129514966;0.580251626505795;1.25763096379352
"2020-05-03";15;0.92173646023308;0.588899911324967;1.25457300914119
"2020-05-04";15;0.919292803127396;0.576526738994895;1.2620588672599
"2020-05-05";15;0.906473965320458;0.550581286587367;1.26236664405355
"2020-05-06";15;0.900623914120286;0.537901687843368;1.2633461403972
"2020-05-07";15;0.922506847861061;0.540500997796334;1.30451269792579
"2020-05-08";15;0.953728455459255;0.56279845554032;1.34465845537819
"2020-05-09";15;1.00156905770974;0.586009132632994;1.41712898278648
"2020-05-10";15;1.0529981334499;0.642784850233863;1.46321141666594
"2020-05-11";15;1.14476895456121;0.719173513485512;1.5703643956369
"2020-05-12";15;1.19402922131287;0.753179059781457;1.63487938284429
"2020-05-13";15;1.26163405608972;0.81407441723745;1.70919369494199
"2020-05-14";15;1.29576133111173;0.836184246400567;1.75533841582289
"2020-05-15";15;1.32018784348662;0.87112954922728;1.76924613774597
"2020-05-16";15;1.3502145376501;0.893384782349538;1.80704429295066
"2020-05-17";15;1.36613052935566;0.917042931647672;1.81521812706364
"2020-05-18";15;1.40882886992458;0.948011505912264;1.86964623393689
"2020-05-19";15;1.45422113857299;0.980101678664556;1.92834059848142
"2020-05-20";15;1.42827844124803;0.971141782415563;1.8854151000805
"2020-05-21";15;1.41952105241416;0.970131640099113;1.86891046472921
"2020-05-22";15;1.39797302069388;0.965027969571841;1.83091807181592
"2020-05-23";15;1.3683961823521;0.96486658654907;1.77192577815513
"2020-05-24";15;1.31306062088905;0.942625112246171;1.68349612953193
"2020-05-25";15;1.26324185336397;0.916027938973291;1.61045576775465
"2020-05-26";15;1.21453653079099;0.892234516388519;1.53683854519347
"2020-05-27";15;1.21874709177985;0.924228746400733;1.51326543715897
"2020-05-28";15;1.22247604836196;0.932620887251192;1.51233120947274
"2020-05-29";15;1.26420043625772;0.969605172307576;1.55879570020787
"2020-05-30";15;1.29611851780281;0.997461469727175;1.59477556587844
"2020-05-31";15;1.3056129008371;1.0086149232938;1.60261087838039
"2020-06-01";15;1.3867990841643;1.0706354509521;1.7029627173765
"2020-06-02";15;1.38628951244042;1.0618985060784;1.71068051880245
"2020-06-03";15;1.33841073958944;1.03232414891654;1.64449733026234
"2020-06-04";15;1.2911135212295;1.01191843519541;1.5703086072636
