"fecha";"region";"provincia";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";16;163;3;0;7
"2020-04-02";16;163;4;0;8
"2020-04-03";16;163;3;0;8
"2020-04-04";16;163;3;0;6
"2020-04-05";16;163;2;0;6
"2020-04-06";16;163;3;0;6
"2020-04-07";16;163;2;0;6
"2020-04-08";16;163;3;0;7
"2020-04-09";16;163;2;0;5
"2020-04-10";16;163;2;0;6
"2020-04-11";16;163;2;0;6
"2020-04-12";16;163;2;0;5
"2020-04-13";16;163;2;0;7
"2020-04-14";16;163;2;0;6
"2020-04-15";16;163;2;0;6
"2020-04-16";16;163;2;0;6
"2020-04-17";16;163;2;0;5
"2020-04-18";16;163;2;0;5
"2020-04-19";16;163;2;0;6
"2020-04-20";16;163;2;0;6
"2020-04-21";16;163;2;0;5
"2020-04-22";16;163;2;0;5
"2020-04-23";16;163;2;0;5
"2020-04-24";16;163;2;0;5
"2020-04-25";16;163;2;0;5
"2020-04-26";16;163;1;0;5
"2020-04-27";16;163;1;0;5
"2020-04-28";16;163;1;0;5
"2020-04-29";16;163;1;0;4
"2020-04-30";16;163;1;0;4
"2020-05-01";16;163;1;0;4
"2020-05-02";16;163;1;0;3
"2020-05-03";16;163;1;0;4
"2020-05-04";16;163;1;0;4
"2020-05-05";16;163;2;0;5
"2020-05-06";16;163;2;0;5
"2020-05-07";16;163;2;0;5
"2020-05-08";16;163;2;0;5
"2020-05-09";16;163;2;0;5
"2020-05-10";16;163;2;0;6
"2020-05-11";16;163;2;0;6
"2020-05-12";16;163;3;0;6
"2020-05-13";16;163;3;0;7
"2020-05-14";16;163;3;0;8
"2020-05-15";16;163;3;0;7
"2020-05-16";16;163;4;1;9
"2020-05-17";16;163;4;1;9
"2020-05-18";16;163;4;1;9
"2020-05-19";16;163;4;0;9
"2020-05-20";16;163;5;1;10
"2020-05-21";16;163;4;1;10
"2020-05-22";16;163;4;0;8
"2020-05-23";16;163;5;1;10
"2020-05-24";16;163;6;1;12
"2020-05-25";16;163;7;2;13
"2020-05-26";16;163;7;2;15
"2020-05-27";16;163;7;2;13
"2020-05-28";16;163;6;1;12
"2020-05-29";16;163;6;2;13
"2020-05-30";16;163;7;2;14
"2020-05-31";16;163;8;2;13
"2020-06-01";16;163;10;4;18
"2020-06-02";16;163;9;2;17
"2020-06-03";16;163;12;5;20
"2020-06-04";16;163;12;6;21
"2020-06-05";16;163;11;5;18
"2020-06-06";16;163;12;5;20
"2020-06-07";16;163;11;4;21
"2020-06-08";16;163;9;3;17
"2020-06-09";16;163;8;3;16
"2020-06-10";16;163;8;2;15
"2020-06-11";16;163;8;3;17
"2020-06-12";16;163;8;3;15
"2020-06-13";16;163;7;1;13
"2020-06-14";16;163;7;2;14
"2020-06-15";16;163;6;2;13
"2020-06-16";16;163;8;2;13
"2020-06-17";16;163;7;2;13
