"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";15;151011;3.02655561050737;0;3.99
"2020-03-09";15;151011;2.45862697222492;0;3.99
"2020-03-10";15;151011;2.11717139858023;0;3.99
"2020-03-11";15;151011;1.98313433871001;0;3.99
"2020-03-12";15;151011;1.90242599876583;0;3.99
"2020-03-13";15;151011;1.76194320549206;0;3.99
"2020-03-14";15;151011;1.66411731555095;0;3.99
"2020-03-15";15;151011;1.66423241139917;0;3.99
"2020-03-16";15;151011;1.71088707828555;0;3.99
"2020-03-17";15;151011;1.70091805989666;0;3.99
"2020-03-18";15;151011;1.7249192268815;0;3.85172272758487
"2020-03-19";15;151011;1.72935475922995;0;3.81635547048708
"2020-03-20";15;151011;1.77531680748795;0;3.99
"2020-03-21";15;151011;1.7497317659205;0;3.9609036860782
"2020-03-22";15;151011;1.74331660925962;0;3.67902026864851
"2020-03-23";15;151011;1.8417500560251;1.4570305521211e-05;3.68348554174468
"2020-03-24";15;151011;1.9155574671077;0.0584797310674061;3.77263520314799
"2020-03-25";15;151011;1.94029831150248;0.329653335998846;3.55094328700612
"2020-03-26";15;151011;1.99134707409435;0.483026503970766;3.49966764421793
"2020-03-27";15;151011;1.9897228524701;0.570806767554716;3.40863893738548
"2020-03-28";15;151011;1.94743831413985;0.678181193668852;3.21669543461086
"2020-03-29";15;151011;1.92744753341668;0.744159187175485;3.11073587965789
"2020-03-30";15;151011;2.00297672315382;0.806260166966563;3.19969327934109
"2020-03-31";15;151011;1.96385837012337;0.835924841662709;3.09179189858404
"2020-04-01";15;151011;1.94239044951888;0.883442816058499;3.00133808297927
"2020-04-02";15;151011;1.8629003563619;0.875915758605243;2.84988495411855
"2020-04-03";15;151011;1.77792347895181;0.884084554422378;2.67176240348125
"2020-04-04";15;151011;1.72672334202941;0.915820483702247;2.53762620035657
"2020-04-05";15;151011;1.62250684070134;0.925092415084117;2.31992126631856
"2020-04-06";15;151011;1.52944065285573;0.897475267743203;2.16140603796825
"2020-04-07";15;151011;1.45616186291405;0.897356839323081;2.01496688650502
"2020-04-08";15;151011;1.36480772107145;0.860723411147144;1.86889203099576
"2020-04-09";15;151011;1.25407763584791;0.801784507589058;1.70637076410677
"2020-04-10";15;151011;1.16148623425574;0.76161828967112;1.56135417884035
"2020-04-11";15;151011;1.06541986982639;0.69446711502863;1.43637262462415
"2020-04-12";15;151011;1.00140254880399;0.648068314896302;1.35473678271168
"2020-04-13";15;151011;0.952443277191397;0.595662915069395;1.3092236393134
"2020-04-14";15;151011;0.906542523879402;0.560588377242492;1.25249667051631
"2020-04-15";15;151011;0.878479555925665;0.536545339430495;1.22041377242084
"2020-04-16";15;151011;0.901472622702928;0.546315500746182;1.25662974465968
"2020-04-17";15;151011;0.953553238211273;0.579605776055922;1.32750070036662
"2020-04-18";15;151011;1.00474533732115;0.626685226313151;1.38280544832914
"2020-04-19";15;151011;1.05270592984502;0.670092932192278;1.43531892749777
"2020-04-20";15;151011;1.13306450364878;0.71663913068559;1.54948987661196
"2020-04-21";15;151011;1.1581339063046;0.752997712400643;1.56327010020856
"2020-04-22";15;151011;1.16366672342573;0.759993687986339;1.56733975886512
"2020-04-23";15;151011;1.13252861020929;0.738965809546339;1.52609141087225
"2020-04-24";15;151011;1.07429422097952;0.705970090536784;1.44261835142226
"2020-04-25";15;151011;1.02355958199991;0.673750012127298;1.37336915187252
"2020-04-26";15;151011;0.983311813150936;0.641325583115711;1.32529804318616
"2020-04-27";15;151011;0.917739984569745;0.584050296186027;1.25142967295346
"2020-04-28";15;151011;0.902461078185516;0.556514112325009;1.24840804404602
"2020-04-29";15;151011;0.904283850628231;0.555721320922748;1.25284638033372
"2020-04-30";15;151011;0.916704560480201;0.568740086657007;1.26466903430339
"2020-05-01";15;151011;0.930551649326072;0.578752175796584;1.28235112285556
"2020-05-02";15;151011;0.934640998215116;0.577697361668718;1.29158463476151
"2020-05-03";15;151011;0.939974584932063;0.582338665482076;1.29761050438205
"2020-05-04";15;151011;0.94021021039907;0.57466587583525;1.30575454496289
"2020-05-05";15;151011;0.94309374070725;0.575232286361484;1.31095519505302
"2020-05-06";15;151011;0.943510947705702;0.560853296791766;1.32616859861964
"2020-05-07";15;151011;0.944208121811654;0.562442184023434;1.32597405959987
"2020-05-08";15;151011;0.966419025112082;0.5672626177946;1.36557543242956
"2020-05-09";15;151011;1.00768248877377;0.596920275389086;1.41844470215846
"2020-05-10";15;151011;1.05038255018266;0.647855530747538;1.45290956961778
"2020-05-11";15;151011;1.13683334208647;0.709498097588203;1.56416858658473
"2020-05-12";15;151011;1.18832833300109;0.762355948212101;1.61430071779008
"2020-05-13";15;151011;1.229337380841;0.794915177186091;1.66375958449592
"2020-05-14";15;151011;1.27659503262902;0.841558905766409;1.71163115949163
"2020-05-15";15;151011;1.30034858887322;0.868859772953495;1.73183740479294
"2020-05-16";15;151011;1.34717044926119;0.903883172722748;1.79045772579963
"2020-05-17";15;151011;1.36803317507773;0.917058111924958;1.81900823823049
"2020-05-18";15;151011;1.40496848690954;0.952662272913367;1.85727470090572
"2020-05-19";15;151011;1.43873827667922;0.990089804118738;1.88738674923971
"2020-05-20";15;151011;1.42614071594981;0.988467061543489;1.86381437035612
"2020-05-21";15;151011;1.41724160630585;0.9937168740442;1.8407663385675
"2020-05-22";15;151011;1.4030930134392;1.00857182087941;1.79761420599899
"2020-05-23";15;151011;1.36594240367547;0.987818247831112;1.74406655951983
"2020-05-24";15;151011;1.31812408507629;0.969925061350059;1.66632310880253
"2020-05-25";15;151011;1.26954339076039;0.934907655714718;1.60417912580606
"2020-05-26";15;151011;1.21307941710874;0.896203857050687;1.5299549771668
"2020-05-27";15;151011;1.21194048419697;0.906640185965649;1.5172407824283
"2020-05-28";15;151011;1.20847501081171;0.910891698773343;1.50605832285008
"2020-05-29";15;151011;1.24946397092963;0.955522375405121;1.54340556645414
"2020-05-30";15;151011;1.28088822547761;0.987430627079076;1.57434582387615
"2020-05-31";15;151011;1.29393669558439;1.0067411338278;1.58113225734099
"2020-06-01";15;151011;1.37343912612962;1.07508247061073;1.67179578164852
"2020-06-02";15;151011;1.38511726491744;1.06744489407126;1.70278963576361
"2020-06-03";15;151011;1.34393977860944;1.03196121069135;1.65591834652753
"2020-06-04";15;151011;1.29386115706723;1.00306979765437;1.58465251648008
"2020-06-05";15;151011;1.21550660590007;0.95050158871519;1.48051162308494
"2020-06-06";15;151011;1.1603953191607;0.918496083855461;1.40229455446594
