fecha,Nacional
2020-04-14,63.61
2020-04-15,63.08
2020-04-16,64.03
2020-04-17,63.9
2020-04-18,63.86
2020-04-19,64.97
2020-04-20,66.81
2020-04-21,67.72
2020-04-22,66.34
2020-04-23,66.95
2020-04-24,66.71
2020-04-25,64.91
2020-04-26,63.57
2020-04-27,65.22
2020-04-28,65.71
2020-04-29,65.1
2020-04-30,64.4
2020-05-01,64.21
2020-05-02,62.14
2020-05-03,63.07
2020-05-04,64.33
2020-05-05,64.93
2020-05-06,65.15
2020-05-07,65.64
2020-05-08,67.4
2020-05-09,69.92
2020-05-10,69.86
2020-05-11,68.31
2020-05-12,69.56
2020-05-13,71.08
2020-05-14,73.06
2020-05-15,78.09
2020-05-16,78.35
2020-05-17,73.29
2020-05-18,75.31
2020-05-19,78.64
2020-05-20,81.69
2020-05-21,84.37
2020-05-22,84.11
2020-05-23,85.07
2020-05-24,84.99
2020-05-25,86.28
2020-05-26,86.12
2020-05-27,86.31
2020-05-28,86.04
2020-05-29,86.3
2020-05-30,87.03
2020-05-31,87.85
2020-06-01,89.02
2020-06-02,87.57
2020-06-03,87.94
2020-06-04,88.65
2020-06-05,88.15
2020-06-06,88.75
2020-06-07,88.38
2020-06-08,88.7
2020-06-09,89.3
2020-06-10,89.18
2020-06-11,88.53
2020-06-12,89.17
2020-06-13,89.46
2020-06-14,89.48
2020-06-15,87.04
2020-06-16,87.49
2020-06-17,88.19
2020-06-18,88.29
2020-06-19,89.32
2020-06-20,89.68
2020-06-21,89.99
2020-06-22,90.59
2020-06-23,91.5
2020-06-24,90.74
2020-06-25,90.13
2020-06-26,89.99
2020-06-27,91.22
2020-06-28,90.19
2020-06-29,90.63
2020-06-30,90.59
2020-07-01,91.17
2020-07-02,91.15
2020-07-03,90.78
2020-07-04,89.88
2020-07-05,88.98
2020-07-06,88.93
2020-07-07,89.21
2020-07-08,88.55
2020-07-09,88.0
2020-07-10,86.78
2020-07-11,85.76
2020-07-12,85.36
2020-07-13,86.13
2020-07-14,86.53
2020-07-15,86.25
2020-07-16,85.25
2020-07-17,84.49
2020-07-18,84.87
2020-07-19,85.87
2020-07-20,85.17
2020-07-21,85.34
2020-07-22,84.63
2020-07-23,83.97
2020-07-24,83.01
2020-07-25,83.76
2020-07-26,82.88
2020-07-27,83.08
2020-07-28,83.03
2020-07-29,83.26
2020-07-30,83.4
2020-07-31,82.96
2020-08-01,81.64
2020-08-02,81.01
2020-08-03,80.96
2020-08-04,80.5
2020-08-05,81.46
2020-08-06,81.96
2020-08-07,81.29
2020-08-08,80.29
2020-08-09,78.78
2020-08-10,78.83
2020-08-11,79.96
2020-08-12,81.24
2020-08-13,81.56
2020-08-14,80.9
2020-08-15,81.01
2020-08-16,79.79
2020-08-17,79.56
2020-08-18,79.73
2020-08-19,78.58
2020-08-20,79.09
2020-08-21,79.54
2020-08-22,80.3
2020-08-23,78.33
2020-08-24,78.1
2020-08-25,78.76
2020-08-26,79.38
2020-08-27,79.66
2020-08-28,79.68
2020-08-29,78.89
2020-08-30,79.8
2020-08-31,79.61
2020-09-01,79.8
2020-09-02,80.71
2020-09-03,81.42
2020-09-04,81.01
2020-09-05,81.14
2020-09-06,80.91
2020-09-07,79.8
2020-09-08,81.18
2020-09-09,81.34
2020-09-10,81.33
2020-09-11,82.29
2020-09-12,82.27
2020-09-13,82.1
2020-09-14,80.6
2020-09-15,82.59
2020-09-16,82.88
2020-09-17,82.19
2020-09-18,81.83
2020-09-19,81.94
2020-09-20,82.22
2020-09-21,81.34
2020-09-22,81.56
2020-09-23,81.54
2020-09-24,81.77
2020-09-25,81.07
2020-09-26,80.81
2020-09-27,80.84
2020-09-28,80.82
2020-09-29,80.33
2020-09-30,81.89
2020-10-01,80.4
2020-10-02,80.66
2020-10-03,81.86
2020-10-04,81.68
2020-10-05,81.14
2020-10-06,80.73
2020-10-07,82.16
2020-10-08,83.22
2020-10-09,82.7
2020-10-10,83.0
2020-10-11,83.29
2020-10-12,84.31
2020-10-13,83.91
2020-10-14,83.95
2020-10-15,84.56
2020-10-16,85.2
2020-10-17,83.64
2020-10-18,84.51
2020-10-19,84.89
2020-10-20,84.69
2020-10-21,83.02
2020-10-22,84.25
2020-10-23,82.53
2020-10-24,82.86
2020-10-25,83.4
2020-10-26,83.55
2020-10-27,83.97
2020-10-28,84.88
2020-10-29,83.65
2020-10-30,83.94
2020-10-31,83.45
2020-11-01,83.18
2020-11-02,82.71
2020-11-03,83.75
2020-11-04,83.72
2020-11-05,84.46
2020-11-06,85.95
2020-11-07,85.29
2020-11-08,84.63
2020-11-09,83.68
2020-11-10,84.16
2020-11-11,83.86
2020-11-12,84.72
2020-11-13,85.5
2020-11-14,85.45
2020-11-15,85.61
2020-11-16,84.84
2020-11-17,84.79
2020-11-18,85.2
2020-11-19,85.25
2020-11-20,86.86
2020-11-21,85.55
2020-11-22,85.36
2020-11-23,84.4
2020-11-24,84.85
2020-11-25,86.02
2020-11-26,86.46
2020-11-27,86.37
2020-11-28,86.44
2020-11-29,86.04
2020-11-30,86.03
2020-12-01,86.43
2020-12-02,86.25
